"","id","name","trainer_score","trainer_scale","codes"
"1",1711,"Gausia Player D",7,2.8,"D"
"2",4354,"Manish Player E",3,1.2,"E"
"3",4353,"Unnati Player B",4,1.6,"B"
"4",576,"Harshal Player A",6,2.4,"A"
"5",4355,"Amrita Player C",6,2.4,"C"
